Sample,Lat,Long,Age,STD,Ref
26TOT,62.20269,-142.4352,80.1,6,Milde 2014 Thesis
25TOT,62.20358,-142.43341,85.8,8.8,Milde 2014 Thesis
21TOT,62.2529,-142.52852,92.8,9.5,Milde 2014 Thesis
23TOT,62.24762,-142.54596,94.4,10,Milde 2014 Thesis
11TOT,62.27223,-142.50189,142.4,8.8,Milde 2014 Thesis
12TOT,62.28592,-142.52542,144.6,14.9,Milde 2014 Thesis
30TOT,62.265721,-142.473131,190.4,16.6,Milde 2014 Thesis
2470,60.5,-140.366666666667,3.7,0.3,O'Sullivan and Currie 1996
1783,60.45,-140.266666666667,4,0.4,O'Sullivan and Currie 1996
3290,60.6216666666667,-140.718333333333,9,0.9,O'Sullivan and Currie 1996
4400,60.625,-140.663333333333,14.5,1.5,O'Sullivan and Currie 1996
4660,60.62,-140.66,14.6,1.4,O'Sullivan and Currie 1996
5371,60.6133333333333,-140.496666666667,25.6,2.6,O'Sullivan and Currie 1996
3335,60.6166666666667,-140.016666666667,25.7,2.4,O'Sullivan and Currie 1996
5230,60.6,-140.533333333333,27.8,2,O'Sullivan and Currie 1996
5924,60.6033333333333,-140.515,36,3,O'Sullivan and Currie 1996
5050,60.625,-140.566666666667,36.6,3,O'Sullivan and Currie 1996
5540,60.6,-140.516666666667,39.9,3.1,O'Sullivan and Currie 1996
5645,60.625,-140.663333333333,40.2,4.3,O'Sullivan and Currie 1996
5330,60.5833333333333,-140.416666666667,40.3,2.5,O'Sullivan and Currie 1996
06jb01,63.53,-147.88,0.9,0.6,Perry 2014 Thesis
06jb05,63.51,-147.84,1.2,0.3,Perry 2014 Thesis
07jb21,63.54,-147.31,2.5,0.6,Perry 2014 Thesis
07jb18,63.55,-147.26,2.7,0.3,Perry 2014 Thesis
07jb20,63.54,-147.31,3,0.5,Perry 2014 Thesis
07jb24,63.6,-147.34,3.1,0.5,Perry 2014 Thesis
07jb26,63.54,-147.71,3.3,0.6,Perry 2014 Thesis
07jb15,63.59,-147.18,3.4,0.4,Perry 2014 Thesis
07jb08,63.57,-147.29,3.4,0.4,Perry 2014 Thesis
07jb25,63.59,-147.35,3.6,0.5,Perry 2014 Thesis
07jb17,63.59,-147.17,3.6,0.4,Perry 2014 Thesis
06jb04,63.52,-147.85,3.6,2.3,Perry 2014 Thesis
06jb02,63.53,-147.87,4,1.5,Perry 2014 Thesis
07jb07,63.57,-147.29,4.1,0.5,Perry 2014 Thesis
D-50,63.9786666666667,-151.188,4.3,0.6,Perry 2014 Thesis
07jb12,63.58,-147.21,4.3,0.5,Perry 2014 Thesis
07jb16,63.59,-147.17,4.4,0.5,Perry 2014 Thesis
07jb05,63.57,-147.3,4.8,0.6,Perry 2014 Thesis
D-9,63.9816666666667,-151.170166666667,5,0.7,Perry 2014 Thesis
07jb05,63.57,-147.3,5.1,0.6,Perry 2014 Thesis
07jb33,63.52,-147.74,5.1,0.9,Perry 2014 Thesis
D-19,63.054,-151.142333333333,5.2,0.7,Perry 2014 Thesis
D-15,63.062,-151.135833333333,5.3,0.5,Perry 2014 Thesis
07jb13,63.6,-147.18,5.4,0.6,Perry 2014 Thesis
07jb01,63.61,-147.28,5.5,0.8,Perry 2014 Thesis
D-43,63.069,-151.105,5.7,0.6,Perry 2014 Thesis
D-22,63.0463333333333,-151.147833333333,5.7,0.7,Perry 2014 Thesis
07jb27,63.5,-147.79,5.7,0.6,Perry 2014 Thesis
07jb51,63.5,-147.89,5.7,1.1,Perry 2014 Thesis
07jb37,63.54,-147.7,6,1.2,Perry 2014 Thesis
07jb45,63.54,-147.87,6,0.9,Perry 2014 Thesis
D-42,63.0655,-151.063333333333,6.1,0.7,Perry 2014 Thesis
D-17,63.0576666666667,-151.139,6.1,0.8,Perry 2014 Thesis
D-18,63.0561666666667,-151.137833333333,6.2,0.7,Perry 2014 Thesis
